,road_code,road,road_slice,road_type,district
55,4Н631,М-37 автойўли(1066 км)-Янги қ-Чуют қ,0-7,Маҳаллий,Жомбой тумани
56,4Н 635,Сўқмон қ-Ўроқли қ-Ертешар қ,0-4,Маҳаллий,Жомбой тумани
57,М- 37 ,Самарканд-Бухоро-Туркманбоши,45-68,Халқаро,Иштихон тумани
58,4Р 48,Зарафшон трактини ,48-80,Давлат,Иштихон тумани
59,4Р 53,Нуработ ш.- Нурбулок к.- Иштитхон ш. ,41-50,Давлат,Иштихон тумани
60,4Р 55,Митан к. - Кушработ к.-Нурота ш.,0-9,Давлат,Иштихон тумани
61,4Р-58 г,М-37 а/йулидан -Иштихон шахрига кириш (53 км),0-6,Давлат,Иштихон тумани
62,4Р-247,Октипа к.- Курли к.,5-12,Давлат,Иштихон тумани
63,4К493а,М-37 автойўлидан Шайхлар қишлоғига,2-11,Маҳаллий,Иштихон тумани
64,4К494,4К503 автойўли (36 км)-Мармар конига,0-4,Маҳаллий,Иштихон тумани
65,4К548,Шайхлар қ- Ўртақишлоқ қ-Таллак қ,0-18,Маҳаллий,Иштихон тумани
66,4К549,"Оқдарё - Тангитепа қ- ""Митан-Нурота"" автойўли",0-20,Маҳаллий,Иштихон тумани
67,4К550,Қаландар қ- Бахрин қ- Митан қ,0-7,Маҳаллий,Иштихон тумани
68,4К550а,Қорача қишлоғига,0-3,Маҳаллий,Иштихон тумани
69,4К551,Шайхлар қ- Оқтепа - Кадан,0-19,Маҳаллий,Иштихон тумани
70,4Н521,"""Челак-Митан""автойўли-Чағатой қ",0-5,Маҳаллий,Иштихон тумани
71,4Н522,"""Самарқанд-Иштихон""автойўли-Кўктепа қ",0-5,Маҳаллий,Иштихон тумани
72,4Н523,"""Челак - Митан""автойўли - Зарафшон фермерлар уюшмаси",0-7,Маҳаллий,Иштихон тумани
73,4Н524,"""Митан-Нурота""автойўли - Мингчинор қ",0-3,Маҳаллий,Иштихон тумани
74,4Н540,Окдарё қ-Тангитепа қ- Тўқсон қ.,0-5,Маҳаллий,Иштихон тумани
75,4Н545,Файзиобод қ-Хўжақўрғон қ ,0-4,Маҳаллий,Иштихон тумани
76,4Н546,Чағатой қ-Мингчинор қ-4Р247 автойўли,0-14,Маҳаллий,Иштихон тумани
77,4Н547а,М-37 автойўлидан  Суғончи қишлоғига (27 км),0-8,Маҳаллий,Иштихон тумани
78,4Н547б,М-37 автойўлидан Қорақўнғирот қишлоғига (58 км),0-5,Маҳаллий,Иштихон тумани
79,4Н547и,М-37 автойўлидан Туркмон қишлоғига  (58 км),0-6,Маҳаллий,Иштихон тумани
80,4Н547к,М-37 автойўлидан Митан қурғонига  (58 км),0-8,Маҳаллий,Иштихон тумани
81,4Н548,Кўтарма қ- Равот қ- Тангатепа қ,0-6,Маҳаллий,Иштихон тумани
82,4Н555,Зарбанд қ- Бойтўба қ,0-14,Маҳаллий,Иштихон тумани
83,4Н557,Қорача қ-Хўжақўрғон қ,0-4,Маҳаллий,Иштихон тумани
84,4Н566 и,4Р48 автойўлидан Одил қишлоғига (53 км),0-3,Маҳаллий,Иштихон тумани
85,4Н566з,4Р48 автойўлидан Хончарвоқ қишлоғига (64 км),0-2,Маҳаллий,Иштихон тумани
86,4Н579,Пайшанба-Мойбулоқ-4Р55 автойўли-Шавона қ,22-39,Маҳаллий,Иштихон тумани
87,4Н584,Шайхлар қ-Янгиқўрғон қ-Ўрта қ,0-6,Маҳаллий,Иштихон тумани
88,4Н 585,Қорачувар қ- Унгали қ- Бешкапа қ,0-14,Маҳаллий,Иштихон тумани
89,4Н 585 а,Олма қишлоғига,0-4,Маҳаллий,Иштихон тумани
90,4Н 586,Шайхлар қ-Қоратепа қ-Қангли қ,0-7,Маҳаллий,Иштихон тумани
91,М- 37 ,Самарканд-Бухоро-Туркманбоши,68-84,Халқаро,Каттақўрғон тумани
92,4Р-46,Самарканд.ш Жума.ш КаттаҚўрғон.ш,49-65,Давлат,Каттақўрғон тумани
93,4Р58д,М-37 а/йўлидан (73 км)- К-қурғон ш кириш ,0-9,Давлат,Каттақўрғон тумани
94,4Р 48,Зарафшон трактини ,80-123,Давлат,Каттақўрғон тумани
95,4Р54,КаттаҚўрғон ш- Ингичка к,0-28,Давлат,Каттақўрғон тумани
96,4Р-243,К.аттаҚўрғон ш.-Пайшанба ш.,0-12,Давлат,Каттақўрғон тумани
97,4Р244,К-Қўрғон ш-КаттаҚўрғон сув омбори-Ингичка к,0-15,Давлат,Каттақўрғон тумани
98,4К-492,Мойбулоқ қ-Мурдош қ,0-23,Маҳаллий,Каттақўрғон тумани
99,4К-551,Шайхлар қ-Октепа қ-Кадан қ,19-30,Маҳаллий,Каттақўрғон тумани
100,4К-551а,Яви кишлогига ,0-3,Маҳаллий,Каттақўрғон тумани
101,4К-552,Кадан қ - Вайрот қ,0-15,Маҳаллий,Каттақўрғон тумани
102,4К-552 а,Каттаминг қишлоғига,0-7,Маҳаллий,Каттақўрғон тумани
103,4К-552б,Тасмачи қишлоғига,0-5,Маҳаллий,Каттақўрғон тумани
104,4К-553,Алижон қ- Дамхўжа қ,0-14,Маҳаллий,Каттақўрғон тумани
105,4К-554,4Р244 автойўли-Каттақўрғон сув омбори-У.Юсупов фермерлар уюшмаси ,0-3,Маҳаллий,Каттақўрғон тумани
106,4К-570,4Р46 автойўли (59 км)- Каттақўрғон ш,0-5,Маҳаллий,Каттақўрғон тумани
107,4Н526,"""Иштихон-Пайшанба"" автойўли-Олтинсой қ-Зарбанд қ",0-9,Маҳаллий,Каттақўрғон тумани
108,4Н527,Кўкча-Ойжон-Хўжақўрғон,0-11,Маҳаллий,Каттақўрғон тумани
109,4Н528,4Р54 автойўли (2 км)-Коракулча фермерлар уюшмаси,0-3,Маҳаллий,Каттақўрғон тумани
110,4Н527,Кўкча-Ойжон-Хўжақўрғон,0-11,Маҳаллий,Каттақўрғон тумани
111,4Н537,4Р46 автоййўли-Парандачилик фабрикаси-Алижон к,0-8,Маҳаллий,Каттақўрғон тумани
112,4Н549,Мангитон қ- Зотхон қ.,0-12,Маҳаллий,Каттақўрғон тумани
113,4Н550,Жалоир қ-Болтабек қ-Янгиобод қ,0-12,Маҳаллий,Каттақўрғон тумани
114,4Н566 е,4Р48 автойўлидан Кщшробод қишлоғига   (92 км),0-1,Маҳаллий,Каттақўрғон тумани
115,4Н566 ж,4Р48 автойўлидан Янгиқишлок қишлоғига (106 км),0-6,Маҳаллий,Каттақўрғон тумани
116,4Н 579 ,Пайшанба-Мойбулоқ-4Р55 автойўли-Шавона қ,0-22,Маҳаллий,Каттақўрғон тумани
117,4Н599,Абулкосим қ- Яккабоғ қ - Мухтор қ,0-12,Маҳаллий,Каттақўрғон тумани
118,4Н 599а,Муллакичкина кқишлоғига,0-5,Маҳаллий,Каттақўрғон тумани
119,4Н600,Таварон қ-Пайшанба қ,0-7,Маҳаллий,Каттақўрғон тумани
120,4Н600а,Жалойир қишлоғига,0-4,Маҳаллий,Каттақўрғон тумани
121,4Н619,Пайшанба қ-Таварон қ-Чўянчи қ,0-15,Маҳаллий,Каттақўрғон тумани
122,4Н619а,Кул кишлокга,0-2,Маҳаллий,Каттақўрғон тумани
123,4Н620,Мундиён қ-Жонкал қ-Мангитон қ,0-8,Маҳаллий,Каттақўрғон тумани
124,4Н621,Андок қ- Себистон қ,0-13,Маҳаллий,Каттақўрғон тумани
125,4Н626,Мойбулок қ- Мурдаш қ- Жизмон қ,0-14,Маҳаллий,Каттақўрғон тумани
126,4Н627,Жарбоши қ-Кўшховуз қ-Ёнбош қ,0-16,Маҳаллий,Каттақўрғон тумани
127,4Н 633,Исовойтепа к. - А.Курбонов ж\х - Буломиз к,0-8,Маҳаллий,Каттақўрғон тумани
128,4Р 43,М-39  автойули -Маржонбулок к.-Зармитан к.-Кушработ к.,77-108,Давлат,Қўшработ тумани
129,4Р-55,Митан к. - Кушработ к.-Нурота ш.,9-75,Давлат,Қўшработ тумани
130,4Р-247,Октипа к.- Курли к.,0-5,Давлат,Қўшработ тумани
131,4К491, Қўшробот қ - Пангат қ.,0-18,Маҳаллий,Қўшработ тумани
132,4Н575,Қўшробот қ - Пичот к.,0-10,Маҳаллий,Қўшработ тумани
133,4Н576 а,4Р46 автойўлидан Тегирмоновул қишлоғига (82 км),0-7,Маҳаллий,Қўшработ тумани
134,4Н576 б,4Р46 автойўлидан Кувкалла қишлоғига    (92 км),0-10,Маҳаллий,Қўшработ тумани
135,4Н577 а,4Р55 автойўлидан Тўқмон қишлоғига    (35 км),0-7,Маҳаллий,Қўшработ тумани
136,4Н577 б,4Р55 автойўлидан Октепа фермерлар уюшмпсига (18 км),0-6,Маҳаллий,Қўшработ тумани
137,4Н577 в,4Р55 автойўлидан Қўштомғали қишлоғига   (63 км),0-7,Маҳаллий,Қўшработ тумани
138,4Н577 г,4Р55 автойўлидан Урганжи - Сумбул қ - Янгитурмуш қишлоғига  (78 км),0-6,Маҳаллий,Қўшработ тумани
139,4Н577 д,4Р55 автойўлидан Қовунчи қишлоғига   (49 км),0-10,Маҳаллий,Қўшработ тумани
140,4Н577 е,4Р55 автойўлидан Ежгант қишлоғига (56 км),0-6,Маҳаллий,Қўшработ тумани
141,4Н577 ж,4Р55 автойўлидан Новкат қишолиғга (38 км),0-5,Маҳаллий,Қўшработ тумани
142,4Н577 з,4Р55 автойўлидан Болғали қишлоғига (33 км),0-4,Маҳаллий,Қўшработ тумани
143,4Н577 и,4Р55 автойўлидан Қийқим қишлоғига (10 км),0-6,Маҳаллий,Қўшработ тумани
144,4Н577 к,4Р55 автойўлидан Боқи-Чиғатой қишлоғига    (19 км),0-8,Маҳаллий,Қўшработ тумани
145,4Н578,Жўш - Минишкор,0-14,Маҳаллий,Қўшработ тумани
146,4Н 579 ,Пайшанба-Мойбулоқ-4Р55 автойўли-Шавона қ,39-47,Маҳаллий,Қўшработ тумани
147,4Н 618,Богожар қ - Тоз қ - Соригул қ,0-14,Маҳаллий,Қўшработ тумани
148,4Н 636,Зармитан қ- Булок қ,0-12,Маҳаллий,Қўшработ тумани
149,4Н637,4Р55 автойўли-Чорлоқ қишлоғи,0-4,Маҳаллий,Қўшработ тумани
150,4Н638,4Р43 атойўли (107 км)- Саксончи қ,0-3,Маҳаллий,Қўшработ тумани
151,М- 37 ,Самарканд-Бухоро-Туркманбоши,84-116,Халқаро,Нарпай тумани
152,4Р-56,Октош ш.-Янгиравот ш. -Лангар к.-Чуя к.,0-11,Давлат,Нарпай тумани
153,4К557,М-37 автойўли (113 км)-Зирабулоқ темир йўл станциясии-Хўжақўрғон қ-Иттифоқ Болтали.қ ,0-25,Маҳаллий,Нарпай тумани
154,4К557а,М-37 автойўли Наврўзтепа қишлоғига,0-8,Маҳаллий,Нарпай тумани
155,4К557б,М-37 автойўли-Ойбек фермер уюшмасига ,0-5,Маҳаллий,Нарпай тумани
156,4К557 в,М-37 автойўли-И.Шоир пахта пункти,0-3,Маҳаллий,Нарпай тумани
157,4К557 г,М-37 автойўли -Бурдоқчилик марказига ,0-7,Маҳаллий,Нарпай тумани
158,4К558,Ғаллақасоб қ.- Хўжақўрғон қ.,0-18,Маҳаллий,Нарпай тумани
159,4К559,Оқтош ш. айланма автойўли,0-35,Маҳаллий,Нарпай тумани
160,4Н529,Хўжа қ Чақар қ.-Тоз қ,0-12,Маҳаллий,Нарпай тумани
161,4Н530,Иттифоқ қ-Болтали қ-Нугай қ.,0-15,Маҳаллий,Нарпай тумани
162,4Н532,М-37 автойўли (95 км)-Ҳамза қ,0-5,Маҳаллий,Нарпай тумани
163,4Н541,М-37 автойўли (112 км)-Маркент қ-Саловат қ,0-7,Маҳаллий,Нарпай тумани
164,4Н541а,М-37 автойўли-Кўкота қишлоғига,0-3,Маҳаллий,Нарпай тумани
165,4Н547з,М-37 Автойўлидан-Дедон қишлоғига       (114 км) ,0-3,Маҳаллий,Нарпай тумани
166,4Н547н,Кизилқуш қишлоғи-Нагарахона қишлоғига кириш,0-5,Маҳаллий,Нарпай тумани
167,4Н-559,М-37 автойўли - Танишка к,0-4,Маҳаллий,Нарпай тумани
168,4Н559а,М-37 автойўлидан-Вористон қишлоғига   (112 км),0-2,Маҳаллий,Нарпай тумани
169,А-378 ,Самарканд - Карши,18-57,Халқаро,Нурабод тумани
170,4Р-52,А-378 а/йулидан Сарикул к.-Нуробот ш.-Сепки к.-Карнаб к.-Навоий ш.,0-116,Давлат,Нурабод тумани
171,4Р 53,Нуработ ш.- Нурбулок к.-Иштитхон ш.,0-31,Давлат,Нурабод тумани
172,4К544 г,4К544  автойўлидан Қизилқуёш қишлоғига, 7-13,Маҳаллий,Нурабод тумани
173,4К545,4Р46 автойўли (35 км)-Санчиқул қ-Гумбаз қ,28-33,Маҳаллий,Нурабод тумани
174,4К546,Нурбулоқ қ-Бошқудуқ қ-Улус қ,0-24,Маҳаллий,Нурабод тумани
175,4К556,Ингичка қ- Сепки қ,0-13,Маҳаллий,Нурабод тумани
176,4Н513в,А-378 автойўлидан Тепакўл қишлоғига      (19 км),0-3,Маҳаллий,Нурабод тумани
177,4Н513 е,А-378 автойўлидан Ўпрочил  қишлоғига    (30 км),0-2,Маҳаллий,Нурабод тумани
178,4Н513д,А-378 автойўлидан Болалар оромгохига    (24 км),0-4,Маҳаллий,Нурабод тумани
179,4Н513ж,А-378 автойўлидан Оқсой қишлоғига          (34 км) ,0-7,Маҳаллий,Нурабод тумани
180,4Н513з,А-378 автойўлидан Меҳнаткаш қишлоғига (37 км),0-6,Маҳаллий,Нурабод тумани
181,4Н513и,Чунқаймиш қишлоғига (56 км),0-14,Маҳаллий,Нурабод тумани
182,4Н513к,А-378 автойўлидан  Жом қишлоғига               (56 км),0-5,Маҳаллий,Нурабод тумани
183,4Н513л,А-378 автойўлидан Уйругул қишлоғига         ( 46 км),0-4,Маҳаллий,Нурабод тумани
184,4Н513н,А-378 автойўлидан Товокбулок қишлоғига   ( 31 км),0-2,Маҳаллий,Нурабод тумани
185,4Н552,4Р 52 автойўли (30 км) -  Ғаллакор қ,0-4,Маҳаллий,Нурабод тумани
186,4Н553,Шўрча қ-Нурдум қ-Жарқудуқ қ,0-31,Маҳаллий,Нурабод тумани
187,4Н560,Тошқудук қ- Олға қ- Хазармали қ,0-23,Маҳаллий,Нурабод тумани
188,4Н561,Сепки қ- Агрон қ,0-10,Маҳаллий,Нурабод тумани
189,4Н562,Тим қ- Эскимачит қ,0-15,Маҳаллий,Нурабод тумани
190,4Н 632,Сепки қ- Олтиўғил қ,0-16,Маҳаллий,Нурабод тумани
191,4Н 639,Нуробод қ- Ўртабўз қ- Меҳр қ- Олға қ,0-29,Маҳаллий,Нурабод тумани
192,4Н 640,Ғаллакор қ-Ўттизқулоч қ,0-18,Маҳаллий,Нурабод тумани
193,М- 37 ,Самарканд-Бухоро-Туркманбоши,6-45.,Халқаро,Оқдарё тумани
194,4Р58 а,М-37 а/йулидан -Лойиш кишлогига кириш (28 км),0-6,Давлат,Оқдарё тумани
195,4Р58 б,М-37 а/йулидан -ЯнгиҚўрғон кишлогига кириш (38 км),0-8,Давлат,Оқдарё тумани
196,4К493а,М-37 автойўлидан Шайхлар қишлоғига,0-2,Маҳаллий,Оқдарё тумани
197,4К493в,М-37 автойўлидан Эшимоқсоқ қишлоғига,0-5,Маҳаллий,Оқдарё тумани
198,4К495,Лойиш ш-Овозали қ-Янгиқўрғон қ-Одил қ-Окчелак қ,0-21,Маҳаллий,Оқдарё тумани
199,4К495а,"4К495""а""-Ғалаба қишлоғига ",0-6,Маҳаллий,Оқдарё тумани
200,4К536,М-37а/й(6 км)-Пулатдархон қ-Тут қ-Нуш қ,0-4,Маҳаллий,Оқдарё тумани
201,4К538,Қоратери қ-Олчин қ-Пичоқчи қ-Мойқовоқ қ,0-19,Маҳаллий,Оқдарё тумани
202,4К563,М-37 автойўли (14км)-Келачи қ,0-4,Маҳаллий,Оқдарё тумани
203,4Н518,М-37 автойули-Чавқа қ-Болта қ-Қозоқхўжа қ-Навоий қ,0-12,Маҳаллий,Оқдарё тумани
204,4Н518а,М-37 автойўли Лойиш қишлоғига,0-2,Маҳаллий,Оқдарё тумани
205,4Н519,Лойиш қ- Примкент қ- Ойтамғали қ- Суғончи қ- Янгиқўрғон қ,0-18,Маҳаллий,Оқдарё тумани
206,4Н542,Чоршанба қ-Узун.к-Янгировот қ,0-5,Маҳаллий,Оқдарё тумани
207,4Н542а,4К-542 автойўлидан Холдор қишлоғига,0-3,Маҳаллий,Оқдарё тумани
208,4Н547 в,М-37 автойўлидан Янгиравот қишлоғига    ( 58 км ),0-8,Маҳаллий,Оқдарё тумани
209,4Н547м,Самарқанд аэропорти-Бобур номли машина трактор паркига (58 27 км),0-2,Маҳаллий,Оқдарё тумани
210,4Н 591,Поники қ- Ўтарчи қ,0-5,Маҳаллий,Оқдарё тумани
211,4Н 592,Овазали қ-Қоратери қ,0-5,Маҳаллий,Оқдарё тумани
212,4Н 592а,Қоратухум қишлоғига,0-2,Маҳаллий,Оқдарё тумани
213,4Н 593,Узун қ-Янгикент қ,0-3,Маҳаллий,Оқдарё тумани
214,4Н 594,Пўлатдархон қ-Бошдархон қ,0-5,Маҳаллий,Оқдарё тумани
215,4Н 602,Лойиш қ-Муллақўрғон қ,0-3,Маҳаллий,Оқдарё тумани
216,4Н 603,Навоий қ-Музон қ-Ўртақишлоқ қ.,0-5,Маҳаллий,Оқдарё тумани
217,4Н 604,Жарқишлоқ қ-Қоратери қ,0-5,Маҳаллий,Оқдарё тумани
218,4Н 605,Янгиқўрғон қ- Арпа қ,0-5,Маҳаллий,Оқдарё тумани
219,4Н606,Тагировот қ-Оксилот қ ,0-5,Маҳаллий,Оқдарё тумани
220,4Р-43,М-39  автойул -Маржонбулок к.-Зармитан к.-Кушработ к.,58-77,Давлат,Паяриқ тумани
221,4Р 48,Зарафшон трактини ,15-48,Давлат,Паяриқ тумани
222,4Р49,"Челак ш.-Пайариқ ш.-""Маржанбулок-Қушробод"" автойули (45 км)",0-32,Давлат,Паяриқ тумани
223,4Р241,Октош ш.-Хатча ш.-Аболик к.,22-32,Давлат,Паяриқ тумани
224,4Р242,Булунғур ш.-Кулбости к.-Челак ш.,32-44,Давлат,Паяриқ тумани
225,4Р-247,Октипа к.- Курли к.,12-38,Давлат,Паяриқ тумани
226,4К493в,М-37  автойўлидан  Эшимоқсоқ қишлоғига,5-10,Маҳаллий,Паяриқ тумани
227,4К496,Қорабайир қ- Эмалач қ- Вали қ- Оқчелак қ,0-22,Маҳаллий,Паяриқ тумани
228,4К496а,4К496 автойўлидан Жавшар қишлоғига,0-1,Маҳаллий,Паяриқ тумани
229,4К496б,4К496 автойўлидан Коракамар қишлоғига,0-5,Маҳаллий,Паяриқ тумани
230,4К496в,4К496 автойўлидан Кўрмулла қишлоғига,0-6,Маҳаллий,Паяриқ тумани
231,4К497,Зарафшон тракти унг сохили а/йўли -Кўрмулла қ,0-6,Маҳаллий,Паяриқ тумани
232,4К498,Пайариқ ш - Баликчилик хужалигига,0-17,Маҳаллий,Паяриқ тумани
233,4К499,Челак ш- Корасирак қ- Узокбагара қ,0-18,Маҳаллий,Паяриқ тумани
234,4К499а,4К499 автойўлидан Кораколпоғистон  фермерлар  уюшмасига ,0-5,Маҳаллий,Паяриқ тумани
235,4К500,Челак ш- Жўрабой қ- Еттиуруғ қ,0-20,Маҳаллий,Паяриқ тумани
236,4К500а,4К500 автойўлидан Пайариқ ш- Балиқчилик хўжалигига,0-4,Маҳаллий,Паяриқ тумани
237,4К500б,4К500 автойўлидан Кирковул қишлоғига,0-1,Маҳаллий,Паяриқ тумани
238,4К500в,4К500 автойўлидан Челак шахрига,0-2,Маҳаллий,Паяриқ тумани
239,4К501,Чопорашли қ-Тошбайрот қ,0-13,Маҳаллий,Паяриқ тумани
240,4К504,Деварак қ- Кўктепа қ- Оққўрғон қ,0-17,Маҳаллий,Паяриқ тумани
241,4К504а,4К504 автойўлидан Эрназар қишлоғига,0-5,Маҳаллий,Паяриқ тумани
242,4К504б,4К504 автойўлидан Саряк кишлогига ,0-11,Маҳаллий,Паяриқ тумани
243,4К504в,4К504 автойўлидан Коракишлок қишлоғига,0-2,Маҳаллий,Паяриқ тумани
244,4К504г,4К504 автойўлидан Бешкапа қишлоғига,0-6,Маҳаллий,Паяриқ тумани
245,4К505,Огдарё кўприги -Кулбосди қ,0-12,Маҳаллий,Паяриқ тумани
246,4К506,"""Жомбой-Эшимоксок""автойўли (4 км) - Тут қ-Чоштепа қ",7-14,Маҳаллий,Паяриқ тумани
247,4К506а,4К506 автойўлидан Понг қишлоғига,0-3,Маҳаллий,Паяриқ тумани
248,4К569,Челак ш. айланма йўли,0-3,Маҳаллий,Паяриқ тумани
249,4Н491,Жувозхона қ- Оллоёркудук қ,0-14,Маҳаллий,Паяриқ тумани
250,4Н492,Бахрин қ-Охунбобоев фермерлар уюшмаси,0-3,Маҳаллий,Паяриқ тумани
251,4Н493,Мирзачўл қ -Йўлтепа қ,0-8,Маҳаллий,Паяриқ тумани
252,4Н494,"""Челак-Митан""автойўли - Вали қ",0-2,Маҳаллий,Паяриқ тумани
253,4Н495,Челак ш- Ўростой қ,0-5,Маҳаллий,Паяриқ тумани
254,4Н496,Оққўрғон қ- Довчор қ- Ногохон қ,0-2,Маҳаллий,Паяриқ тумани
255,4Н543,Дехқонобод фермерлар уюшмаси-Оқтош қ- Хатча қ-Аболин қ,0-2,Маҳаллий,Паяриқ тумани
256,4Н544,Култугин қ-Янгиобод қ-Нокрут қ,0-28,Маҳаллий,Паяриқ тумани
257,4Н566в,4Р48 автойўлидан Чўмичли қишлоғига   (27 км),0-5,Маҳаллий,Паяриқ тумани
258,4Н566г,4Р48 автойўлиданЧангалакчи қишлоғига  (30 км ),0-3,Маҳаллий,Паяриқ тумани
259,4Н566д,4Р48 автойўлидан Бўри қишлоғига            ( 23 км),0-6,Маҳаллий,Паяриқ тумани
260,4Н 587,Пайариқ ш - Баликчилик хўжалиги -Тойирқишлоқ қ ,0-6,Маҳаллий,Паяриқ тумани
261,4Н588,4Р247автойўли-Йигирматепа қ,0-4,Маҳаллий,Паяриқ тумани
262,4Н 589,Пасткиовул қ- Кўпаки қ-4Р49 автойўли,0-4,Маҳаллий,Паяриқ тумани
263,4Н 590,Октош қ-Оболин қ-Коракалпоғистон ширкат хужалигига,0-5,Маҳаллий,Паяриқ тумани
264,4Н 634,Октепа қ-Пайариқ қ-Гарай қ- Ингичка қ,0-14,Маҳаллий,Паяриқ тумани
265,4Р-46,Самарканд.ш Жума.ш КаттаҚўрғон.ш,3-49.,Давлат,Пастарғом тумани
266,4Р46 а,Жума ш.га кириш (26 км),0-2,Давлат,Пастарғом тумани
267,4Р-51,Жума ш.-Хончар к.-А378 автойули (30 км),0-22,Давлат,Пастарғом тумани
268,4Р 53,Нуработ ш.- Нурбулок к.-Иштитхон ш.,31-41,Давлат,Пастарғом тумани
269,4К539,Кайнама қ- Ертешар қ- Биокомбинат,7-14,Маҳаллий,Пастарғом тумани
270,4К540,Чархин қ- Шомбулоқ қ-Гўзалкент қ,0-24,Маҳаллий,Пастарғом тумани
271,4К541,Искандари қ-Жагалбойли қ- Жума ш,0-16,Маҳаллий,Пастарғом тумани
272,4К542,Самарқанд ш.айланма йўли-Човчандир қ,4-27,Маҳаллий,Пастарғом тумани
273,4К542а,4К542 автойўлидан Бойқишлок қишлоғига,0-4,Маҳаллий,Пастарғом тумани
274,4К542б,4К542 автойўлидан Қ.Тураев жамоа хужалигига,0-4,Маҳаллий,Пастарғом тумани
275,4К542в,4К542 автойўлидан  Харбий д/х-га ,0-4,Маҳаллий,Пастарғом тумани
276,4К543,Жума ш- А.Темур -фермерлар уюшмаси Эскианхор қ,0-17,Маҳаллий,Пастарғом тумани
277,4К544,Каршилик қ- Бақроқ қ  Хончарвоқ қ,0-23,Маҳаллий,Пастарғом тумани
278,4К544а,4К544 автойўлидан Ханчарвоқ қишлоғига,0-4,Маҳаллий,Пастарғом тумани
279,4К544в,4К544 автойўлидан Илим қишлоғига,0-3,Маҳаллий,Пастарғом тумани
280,4К544б,4К544 автойўлидан Бурганли қишлоғига,0-3,Маҳаллий,Пастарғом тумани
281,4К544г,4К544 автойўлидан Қизилқуёш қишлоғига ,0-7,Маҳаллий,Пастарғом тумани
282,4К544д,4К544 автойўлидан Пастдарғом шаҳрига,0-8,Маҳаллий,Пастарғом тумани
283,4К545,4Р46 автойўли (35 км)-Санчиқул қ-Гумбаз қ,0-28,Маҳаллий,Пастарғом тумани
284,4К547,Жума ш- Гўзалкент қ- Чимбойобод қ,0-27,Маҳаллий,Пастарғом тумани
285,4К547а,4К547 автойўлидан Гўзалкент қишлоғига,0-6,Маҳаллий,Пастарғом тумани
286,4К547б,4К547 автойўлидан Зармон пахта пункитига ,0-4,Маҳаллий,Пастарғом тумани
287,4К547в,4К547 автойўлидан Пастдарғом фермерлар уюшмасига,0-3,Маҳаллий,Пастарғом тумани
288,4К568,Караганда қ-Хосилат қ,0-7,Маҳаллий,Пастарғом тумани
289,4К568а,4К568 автойўлидан  Янгийўл қишлоғига,0-3,Маҳаллий,Пастарғом тумани
290,4Н520,Бешкахрамон қ- Зармон қ,0-5,Маҳаллий,Пастарғом тумани
291,4Н 601,Окмангит қ-Човчандир қ,0-4,Маҳаллий,Пастарғом тумани
292,4Н 607,Жума ш- Тўқбой қ,0-8,Маҳаллий,Пастарғом тумани
293,4Н 608,4Р-53 автойўли- Иттифоқ қ- 4К-547автойўли,0-5,Маҳаллий,Пастарғом тумани
294,4Н 609,Кодирий қ- Найманча қ- Дўстлик қ,0-4,Маҳаллий,Пастарғом тумани
295,4Н 610,Янгикишлоқ қ-Чимбойобод қ,0-3,Маҳаллий,Пастарғом тумани
296,4Н 611,Қорасув қ-Машъал қ,0-2,Маҳаллий,Пастарғом тумани
297,4Н 612,Ш.Рашидов фермерлар уюшмаси-Дўстлик к.,0-5,Маҳаллий,Пастарғом тумани
298,4Н 613,Гўзалкен қ-ўтарчи қ-Беклар қ,0-14,Маҳаллий,Пастарғом тумани
299,4Н 613а,4Н 613 автойўлидан Мевали қишлоғига,0-3,Маҳаллий,Пастарғом тумани
300,4Н 614,Гумбаз қ - Самарканд ф/у,0-3,Маҳаллий,Пастарғом тумани
301,4Н 615,Хўжажунгали қ - 4К539 автойўли,0-5,Маҳаллий,Пастарғом тумани
302,4Н 615а,4Н615 Автойўлидан Самарканд ш-Бухоро темир йўлига,0-2,Маҳаллий,Пастарғом тумани
303,4Н 623,Хосилот қ-Эсабой қ,0-3,Маҳаллий,Пастарғом тумани
304,4Н 624,Тўртайғир қ-Бачанали қ,0-2,Маҳаллий,Пастарғом тумани
305,4Н 625,Тўртайғир қ-Бешнайман қ,0-2,Маҳаллий,Пастарғом тумани
306,М- 37 ,Самарканд-Бухоро-Туркманбоши,116-147,Халқаро,Пахтачи тумани
307,4Р 58 е,М-37 автойулидан - Зиёвуддин шахрига (127 км),0-5,Давлат,Пахтачи тумани
308,4Р-52,А-378 автойулидан Сарикул к.-Нуробот ш.-Сепки к.-Карнаб к.-Навоий ш.,116-142,Давлат,Пахтачи тумани
309,4Р-185,М-37 автойули-Карнабота к.,0-30,Давлат,Пахтачи тумани
310,4К493 б,М-37 автойўлидан Зарафшон қишлоғига,0-4,Маҳаллий,Пахтачи тумани
311,4К560,Болтали қ- Болғали қ- Зиёвуддин қ,0-16,Маҳаллий,Пахтачи тумани
312,4К561,Қўйбок қ- Пахта заводи - Шағал заводи,0-15,Маҳаллий,Пахтачи тумани
313,4К562,М-37 автойўли-Султонобод қ-Абдуамин қ,0-14,Маҳаллий,Пахтачи тумани
314,4Н533,Хумор қ-Пудатчи қ-Жагалбой қ,0-13,Маҳаллий,Пахтачи тумани
